House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
42,Morgan Avenue,Patricia,Thomas,43,Head,Married,Female,Plant breeder/geneticist,Unknown,Methodist
42,Morgan Avenue,Philip,Thomas,46,Husband,Married,Male,Data processing manager,Unknown,Methodist
43,Morgan Avenue,Tina,Carter,85,Head,Widowed,Female,Retired,Unknown,Christian
44,Morgan Avenue,Tom,Freeman,84,Head,Divorced,Male,Retired,Unknown,Unknown
45,Morgan Avenue,Diane,Jones,65,Head,Widowed,Female,Retired,Unknown,Christian
46,Morgan Avenue,Beth,Joyce,29,Head,Single,Female,Software engineer,Unknown,Catholic
47,Morgan Avenue,Georgia,Hudson,75,Head,Widowed,Female,Retired,Unknown,Christian
48,Morgan Avenue,Maria,Hyde,54,Head,Single,Female,Holiday representative,Unknown,Methodist
49,Morgan Avenue,Hazel,Rogers,72,Head,Widowed,Female,Retired,Unknown,Christian
50,Morgan Avenue,Jennifer,Kirk,64,Head,Single,Female,Structural engineer,Unknown,Catholic
51,Morgan Avenue,Natalie,Pearson,50,Head,Single,Female,Unemployed,Unknown,Catholic
51,Morgan Avenue,Duncan,Pearson,15,Son,Unknown,Male,Student,Unknown,Unknown
52,Morgan Avenue,Shirley,Day,65,Head,Widowed,Female,Retired,Unknown,Catholic
53,Morgan Avenue,Jake,Wall,21,Head,Single,Male,University Student,Unknown,Methodist
53,Morgan Avenue,Suzanne,Burton,30,Unknown,Single,Female,"Solicitor, Scotland",Unknown,Catholic
53,Morgan Avenue,Clifford,Shepherd,56,Unknown,Single,Male,Retail banker,Unknown,Christian
53,Morgan Avenue,Darren,Wood,40,Unknown,Divorced,Male,Data scientist,Unknown,Christian
54,Morgan Avenue,Robin,Dennis,55,Head,Married,Male,Trade mark attorney,Unknown,Unknown
54,Morgan Avenue,Jayne,Dennis,53,Wife,Married,Female,Ranger/warden,Unknown,Unknown
54,Morgan Avenue,Frank,Dennis,14,Son,Unknown,Male,Student,Unknown,Unknown
54,Morgan Avenue,Joanne,Dennis,12,Daughter,Unknown,Female,Student,Unknown,Unknown
55,Morgan Avenue,Heather,Williamson-Hill,62,Head,Divorced,Female,Logistics and distribution manager,Unknown,Catholic
55,Morgan Avenue,Carly,Payne-Williamson-Hill,29,Daughter,Divorced,Female,Orthoptist,Unknown,Catholic
55,Morgan Avenue,Jenna,Middleton,23,Daughter,Single,Female,Armed forces training and education officer,Unknown,Catholic
56,Morgan Avenue,Raymond,Hodgson,74,Head,Widowed,Male,Retired,Unknown,Unknown
1,Pillar Road,Maria,Rowe,20,Head,Single,Female,"Doctor, general practice",Unknown,Christian
2,Pillar Road,Trevor,Harris,67,Head,Divorced,Male,Retired,Unknown,Methodist
3,Pillar Road,Clare,Booth,33,Head,Single,Female,"Surveyor, hydrographic",Unknown,Christian
3,Pillar Road,Gerald,Booth,7,Son,Unknown,Male,Student,Unknown,Unknown
3,Pillar Road,Bethany,Booth,5,Daughter,Unknown,Female,Student,Unknown,Unknown
4,Pillar Road,Gail,Butler,51,Head,Single,Female,"Psychologist, educational",Unknown,Christian
5,Pillar Road,Antony,Richardson,65,Head,Widowed,Male,Retired,Unknown,Christian
6,Pillar Road,Scott,Scott,92,Head,Divorced,Male,Retired,Unknown,Catholic
7,Pillar Road,Nicholas,Morrison,37,Head,Single,Male,Unemployed,Unknown,Christian
7,Pillar Road,Max,Morrison,6,Son,Unknown,Male,Student,Unknown,Unknown
8,Pillar Road,Lawrence,Nash,42,Head,Single,Male,Unemployed,Unknown,Unknown
9,Pillar Road,Georgina,West,54,Head,Divorced,Female,Training and development officer,Unknown,Unknown
10,Pillar Road,Andrea,Simpson,45,Head,Single,Female,Corporate investment banker,Unknown,Catholic
10,Pillar Road,Lorraine,Harrison-Simpson,7,Neice,Unknown,Female,Student,Unknown,Unknown
1,Wharf Place,Gerald,Anderson,25,Head,Single,Male,Retail manager,Unknown,Christian
1,Wharf Place,Kenneth,Morgan,24,Unknown,Single,Male,"Geologist, wellsite",Unknown,Christian
1,Wharf Place,Glen,Jackson,63,Unknown,Single,Male,Meteorologist,Unknown,Unknown
1,Wharf Place,George,Lane,18,Unknown,Widowed,Male,Student,Unknown,Unknown
1,Wharf Place,Janice,Smith,21,Unknown,Single,Female,University Student,Unknown,Muslim
2,Wharf Place,Jemma,Burns,55,Head,Married,Female,Industrial buyer,Unknown,Christian
2,Wharf Place,Abigail,Burns,56,Wife,Married,Female,Unemployed,Unknown,Christian
2,Wharf Place,Mary,Burns,22,Daughter,Divorced,Female,University Student,Unknown,Christian
3,Wharf Place,Katie,Morris,38,Head,Divorced,Female,Unemployed,Unknown,Catholic
3,Wharf Place,Laura,Morris,6,Daughter,Unknown,Female,Student,Unknown,Unknown
4,Wharf Place,Valerie,Smith,30,Head,Single,Female,Armed forces technical officer,Unknown,Catholic
4,Wharf Place,Lucy,Edwards,62,Unknown,Single,Female,Chief Financial Officer,Unknown,Unknown
4,Wharf Place,Josh,Hyde,45,Unknown,Single,Male,Licensed conveyancer,Unknown,Christian
4,Wharf Place,Keith,Duffy,36,Unknown,Single,Male,Television floor manager,Unknown,Christian
5,Wharf Place,Samantha,Barber,32,Head,Single,Female,PhD Student,Unknown,Unknown
5,Wharf Place,Robin,Doherty,20,Unknown,Single,Male,University Student,Unknown,Christian
5,Wharf Place,Lesley,Carr,19,Unknown,Single,Female,University Student,Unknown,Christian
5,Wharf Place,Luke,Whittaker,18,Unknown,Single,Male,University Student,Unknown,Catholic
5,Wharf Place,Maria,Clark,27,Unknown,Single,Female,PhD Student,Unknown,Christian
6,Wharf Place,Annette,Parker,74,Head,Married,Female,Retired,Unknown,Christian
6,Wharf Place,Allan,Burns,76,Husband,Married,Male,Retired,Unknown,Christian
7,Wharf Place,Gavin,Humphreys,50,Head,Married,Male,"Engineer, drilling",Unknown,Catholic
7,Wharf Place,Melanie,Humphreys,46,Wife,Married,Female,Press photographer,Unknown,Catholic
8,Wharf Place,Tony,Watkins,62,Head,Married,Male,Quarry manager,Unknown,Unknown
8,Wharf Place,Melissa,Watkins,59,Wife,Married,Female,"Physicist, medical",Unknown,Unknown
9,Wharf Place,Roger,Francis,50,Head,Married,Male,Police officer,Unknown,Christian
9,Wharf Place,Lauren,Francis,44,Wife,Married,Female,Learning mentor,Unknown,Christian
9,Wharf Place,Clare,Francis,15,Daughter,Unknown,Female,Student,Unknown,Unknown
10,Wharf Place,Margaret,Barber,53,Head,Single,Female,Psychotherapist,Unknown,Christian
10,Wharf Place,Amber,Hayes,44,Unknown,Divorced,Female,Ship broker,Unknown,Christian
11,Wharf Place,Henry,Woods,81,Head,Married,Male,Retired,Unknown,Christian
11,Wharf Place,Louise,Woods,85,Wife,Married,Female,Retired,Unknown,Unknown
12,Wharf Place,Rachel,Murphy,24,Head,Divorced,Female,Podiatrist,Unknown,Unknown
13,Wharf Place,Hollie,Russell,72,Head,Single,Female,Retired,Unknown,Unknown
14,Wharf Place,Catherine,Hill,65,Head,Widowed,Female,Retired,Unknown,Methodist
15,Wharf Place,Ashleigh,Butcher,41,Head,Married,Female,"Civil engineer, contracting",Unknown,Methodist
15,Wharf Place,Richard,Butcher,43,Husband,Married,Male,Hotel manager,Unknown,Methodist
15,Wharf Place,Sheila,Butcher,4,Daughter,Unknown,Female,Child,Unknown,Unknown
15,Wharf Place,Kenneth,Edwards,50,Lodger,Single,Male,Structural engineer,Unknown,Unknown
16,Wharf Place,Damian,Wheeler,45,Head,Single,Male,Unemployed,Unknown,Unknown
16,Wharf Place,Jane,Davies,43,Partner,Single,Female,Tax adviser,Unknown,Unknown
17,Wharf Place,Julie,Chapman,63,Head,Single,Female,Legal secretary,Unknown,Christian
18,Wharf Place,Helen,Simpson,33,Head,Married,Female,Radio broadcast assistant,Unknown,Unknown
18,Wharf Place,Douglas,Simpson,33,Husband,Married,Male,Interpreter,Unknown,Unknown
18,Wharf Place,Trevor,Simpson,4,Son,Unknown,Male,Child,Unknown,Unknown
18,Wharf Place,Hazel,Howell,40,Lodger,Single,Female,Claims inspector/assessor,Unknown,Unknown
19,Wharf Place,Carly,Kelly-Griffin,59,Head,Married,Female,Microbiologist,Unknown,Unknown
19,Wharf Place,Joel,Bevan,56,Husband,Married,Male,Youth worker,Unknown,Unknown
19,Wharf Place,Alan,Kelly-Griffin,17,Son,Unknown,Male,Student,Unknown,Unknown
19,Wharf Place,Leah,Kelly-Griffin,14,Daughter,Unknown,Female,Student,Unknown,Unknown
19,Wharf Place,Peter,Kelly-Griffin,9,Son,Unknown,Male,Student,Unknown,Unknown
20,Wharf Place,Scott,Fletcher,42,Head,Divorced,Male,Chiropractor,Unknown,Catholic
21,Wharf Place,Kimberley,Roberts,68,Head,Married,Female,Retired,Unknown,Unknown
21,Wharf Place,Frederick,Roberts,71,Husband,Married,Male,Retired,Mental Disability,Unknown
22,Wharf Place,Leon,Richards,40,Head,Single,Male,Printmaker,Unknown,Catholic
22,Wharf Place,Jane,Cox,53,Unknown,Single,Female,"Therapist, horticultural",Unknown,Catholic
22,Wharf Place,Ann,Davies,56,Unknown,Single,Female,Newspaper journalist,Unknown,Christian
22,Wharf Place,Derek,Metcalfe,30,Unknown,Single,Male,Product manager,Unknown,Unknown
22,Wharf Place,Stewart,Morgan,29,Unknown,Single,Male,"Administrator, Civil Service",Unknown,Jewish
22,Wharf Place,Samuel,Begum,59,Unknown,Single,Male,Financial controller,Unknown,Unknown
23,Wharf Place,Leanne,Harvey,72,Head,Married,Female,Retired,Unknown,Methodist
23,Wharf Place,Clive,Harvey,74,Husband,Married,Male,Retired,Unknown,Methodist
23,Wharf Place,Amelia,Harvey,40,Daughter,Divorced,Female,Regulatory affairs officer,Unknown,Unknown
23,Wharf Place,Ben,Harvey,39,Son,Single,Male,"Surveyor, rural practice",Unknown,Unknown
24,Wharf Place,Geraldine,Williams,71,Head,Divorced,Female,Retired,Unknown,Christian
25,Wharf Place,Denise,White,32,Head,Married,Female,Geophysicist/field seismologist,Unknown,Unknown
25,Wharf Place,Derek,White,32,Husband,Married,Male,Banker,Unknown,Unknown
25,Wharf Place,Janet,White,7,Daughter,Unknown,Female,Student,Unknown,Unknown
25,Wharf Place,Heather,White,6,Daughter,Unknown,Female,Student,Unknown,Unknown
25,Wharf Place,Malcolm,White,2,Son,Unknown,Male,Child,Unknown,Unknown
26,Wharf Place,Janet,Gregory,66,Head,Widowed,Female,Retired,Unknown,Christian
26,Wharf Place,Roger,Gregory,39,Son,Divorced,Male,Archaeologist,Unknown,Christian
27,Wharf Place,Gillian,Fox,29,Head,Divorced,Female,Commissioning editor,Unknown,Methodist
27,Wharf Place,Beth,Fox,4,Daughter,Unknown,Female,Child,Unknown,Unknown
27,Wharf Place,Rebecca,Fox,3,Daughter,Unknown,Female,Child,Unknown,Unknown
28,Wharf Place,Wayne,Clark,41,Head,Single,Male,Freight forwarder,Unknown,Unknown
29,Wharf Place,Ricky,Thompson,83,Head,Widowed,Male,Retired,Unknown,Christian
30,Wharf Place,Louise,Smith,61,Head,Married,Female,Engineering geologist,Unknown,Christian
30,Wharf Place,Denis,Smith,63,Husband,Married,Male,Leisure centre manager,Unknown,Unknown
30,Wharf Place,Jay,Smith,15,Son,Unknown,Male,Student,Unknown,Unknown
30,Wharf Place,Kimberley,Smith,14,Daughter,Unknown,Female,Student,Unknown,Unknown
30,Wharf Place,Abbie,Smith,13,Daughter,Unknown,Female,Student,Unknown,Unknown
31,Wharf Place,Emily,Tucker,43,Head,Married,Female,Facilities manager,Unknown,Unknown
31,Wharf Place,Hugh,Tucker,49,Husband,Married,Male,"Surveyor, building control",Unknown,Unknown
31,Wharf Place,Brett,Tucker,16,Son,Unknown,Male,Student,Unknown,Unknown
31,Wharf Place,Charles,Richards-Tucker,14,Son,Unknown,Male,Student,Unknown,Unknown
31,Wharf Place,Trevor,Richards-Tucker,10,Son,Unknown,Male,Student,Unknown,Unknown
31,Wharf Place,Maurice,Richards-Tucker,7,Son,Unknown,Male,Student,Unknown,Unknown
32,Wharf Place,Diana,Evans,76,Head,Widowed,Female,Retired,Unknown,Unknown
32,Wharf Place,Jennifer,Gibson,0,Granddaughter,Unknown,Female,Child,Unknown,Unknown
33,Wharf Place,Donna,Ward,36,Head,Married,Female,"Engineer, land",Unknown,Christian
33,Wharf Place,Nathan,Ward,38,Husband,Married,Male,"Administrator, Civil Service",Unknown,Unknown
33,Wharf Place,Joanna,Ward,9,Daughter,Unknown,Female,Student,Unknown,Unknown
33,Wharf Place,Joanna,Ward,5,Daughter,Unknown,Female,Student,Unknown,Unknown
33,Wharf Place,Ruth,Ward,3,Daughter,Unknown,Female,Child,Unknown,Unknown
34,Wharf Place,Steven,Ward,21,Head,Single,Male,University Student,Unknown,Christian
35,Wharf Place,Iain,Carter,62,Head,Married,Male,Clinical research associate,Unknown,Christian
35,Wharf Place,Ellie,Carter,57,Wife,Married,Female,Animal nutritionist,Unknown,Christian
36,Wharf Place,Georgia,Phillips,80,Head,Widowed,Female,Retired,Unknown,Christian
37,Wharf Place,Michelle,Jackson,18,Head,Single,Female,Student,Unknown,Unknown
38,Wharf Place,Lynn,Morgan,41,Head,Single,Female,Electrical engineer,Unknown,Jedi
39,Wharf Place,Ann,Bishop,66,Head,Married,Female,Retired,Unknown,Unknown
39,Wharf Place,Dominic,Bishop,64,Husband,Married,Male,"Surveyor, commercial/residential",Unknown,Unknown
40,Wharf Place,Olivia,Powell,89,Head,Married,Female,Retired,Unknown,Unknown
40,Wharf Place,Leigh,Powell,91,Husband,Married,Male,Retired,Unknown,Unknown
41,Wharf Place,Molly,Elliott,26,Head,Single,Female,Stage manager,Unknown,Unknown
41,Wharf Place,Donald,Elliott,2,Son,Unknown,Male,Child,Unknown,Unknown
42,Wharf Place,Claire,Stevens,35,Head,Married,Female,Housing manager/officer,Unknown,Methodist
42,Wharf Place,Brett,Stevens,39,Husband,Married,Male,"Engineer, control and instrumentation",Unknown,Methodist
43,Wharf Place,Victoria,Parry,29,Head,Married,Female,"Surveyor, quantity",Unknown,Unknown
43,Wharf Place,Victor,Parry,38,Husband,Married,Male,Hospital pharmacist,Unknown,Unknown
44,Wharf Place,Brett,Patterson,49,Head,Married,Male,"Engineer, technical sales",Unknown,Catholic
44,Wharf Place,Christine,Patterson,46,Wife,Married,Female,Armed forces training and education officer,Unknown,Unknown
45,Wharf Place,Katie,Pearson,71,Head,Divorced,Female,Retired,Unknown,Christian
45,Wharf Place,Gemma,Pearson,29,Daughter,Divorced,Female,Unemployed,Unknown,Unknown
45,Wharf Place,Shannon,Pearson,29,Daughter,Divorced,Female,Risk manager,Unknown,Christian
45,Wharf Place,Kyle,Pearson,26,Son,Single,Male,Contractor,Unknown,Unknown
46,Wharf Place,Christine,Ward,57,Head,Single,Female,Multimedia programmer,Unknown,Christian
1,Blue Spring,Beth,Williams,41,Head,Married,Female,Forensic psychologist,Unknown,Catholic
1,Blue Spring,Neil,Williams,41,Husband,Married,Male,Multimedia specialist,Unknown,Catholic
1,Blue Spring,Adrian,Williams,17,Son,Unknown,Male,Student,Unknown,Unknown
1,Blue Spring,Karl,Williams,15,Son,Unknown,Male,Student,Unknown,Unknown
1,Blue Spring,Gemma,Williams,14,Daughter,Unknown,Female,Student,Unknown,Unknown
2,Blue Spring,Rachel,Newman,33,Head,Single,Female,Unemployed,Unknown,Unknown
2,Blue Spring,Aaron,Evans,44,Sibling,Single,Male,Passenger transport manager,Unknown,Catholic
2,Blue Spring,Scott,Wilson,60,Visitor,Divorced,Male,"Engineer, energy",Unknown,Christian
2,Blue Spring,Irene,Stephenson,21,Lodger,Single,Female,University Student,Unknown,Unknown
2,Blue Spring,Barbara,Bond,23,Lodger,Single,Female,Unemployed,Unknown,Catholic
2,Blue Spring,Hannah,Morgan,50,Visitor,Widowed,Female,Town planner,Unknown,Unknown
2,Blue Spring,Ruth,Poole,25,Lodger,Single,Female,Naval architect,Unknown,Unknown
2,Blue Spring,Vanessa,Khan,46,Sibling,Single,Female,Historic buildings inspector/conservation officer,Unknown,Unknown
2,Blue Spring,Brett,Williams,34,Sibling,Single,Male,"Engineer, electronics",Unknown,Unknown
2,Blue Spring,Hannah,Dennis,35,Lodger,Single,Female,Unemployed,Unknown,Methodist
2,Blue Spring,Scott,Francis,51,Lodger,Divorced,Male,Theatre stage manager,Unknown,Catholic
3,Blue Spring,Margaret,Kelly,48,Head,Married,Female,Unemployed,Unknown,Unknown
3,Blue Spring,Jason,Kelly,48,Husband,Married,Male,Occupational therapist,Unknown,Unknown
3,Blue Spring,Gail,Kelly,24,Daughter,Single,Female,Scientific laboratory technician,Unknown,Unknown
3,Blue Spring,Aimee,Kelly,22,Daughter,Single,Female,"Nurse, adult",Unknown,Unknown
3,Blue Spring,Carole,Kelly,19,Daughter,Divorced,Female,University Student,Unknown,Unknown
3,Blue Spring,Sarah,Kelly,15,Daughter,Unknown,Female,Student,Unknown,Unknown
3,Blue Spring,Mohamed,Kelly,13,Son,Unknown,Male,Student,Unknown,Unknown
3,Blue Spring,Sara,Kelly,7,Daughter,Unknown,Female,Student,Unknown,Unknown
3,Blue Spring,Ian,Kelly,2,Son,Unknown,Male,Child,Unknown,Unknown
3,Blue Spring,Hilary,Shah,59,Visitor,Single,Female,Aeronautical engineer,Unknown,Catholic
4,Blue Spring,Diane,Webster,30,Head,Single,Female,Recycling officer,Unknown,Christian
4,Blue Spring,Dean,Johnson,37,Partner,Single,Male,Recycling officer,Unknown,Christian
4,Blue Spring,Sam,Webster,7,Son,Unknown,Male,Student,Unknown,Unknown
4,Blue Spring,Lynn,Webster,7,Daughter,Unknown,Female,Student,Unknown,Unknown
5,Blue Spring,Rhys,Stevens,22,Head,Single,Male,University Student,Mental Disability,Christian
5,Blue Spring,Stewart,Evans,20,Unknown,Single,Male,University Student,Unknown,Sikh
5,Blue Spring,Ian,Burton,20,Unknown,Single,Male,University Student,Unknown,Unknown
5,Blue Spring,George,Hunt,22,Unknown,Single,Male,University Student,Unknown,Christian
5,Blue Spring,Aimee,Little,31,Unknown,Single,Female,PhD Student,Unknown,Unknown
5,Blue Spring,Stuart,Willis,22,Unknown,Single,Male,University Student,Unknown,Unknown
5,Blue Spring,Arthur,Phillips,29,Unknown,Single,Male,PhD Student,Unknown,Catholic
5,Blue Spring,Susan,Burns,26,Unknown,Single,Female,PhD Student,Unknown,Christian
5,Blue Spring,Teresa,Palmer,22,Unknown,Single,Female,University Student,Unknown,Christian
5,Blue Spring,Harriet,Moore,22,Unknown,Single,Female,University Student,Unknown,Christian
5,Blue Spring,Marian,Taylor,22,Unknown,Single,Female,University Student,Unknown,Unknown
5,Blue Spring,Aimee,Taylor,20,Unknown,Single,Female,University Student,Unknown,Unknown
5,Blue Spring,Bruce,Taylor,21,Unknown,Single,Male,University Student,Unknown,Christian
5,Blue Spring,Wayne,Taylor,19,Unknown,Single,Male,University Student,Unknown,Catholic
5,Blue Spring,Elliott,Phillips,21,Unknown,Single,Male,University Student,Unknown,Unknown
5,Blue Spring,Bradley,Payne,18,Unknown,Single,Male,University Student,Unknown,Christian
5,Blue Spring,Lindsey,Reynolds,22,Unknown,Single,Female,University Student,Unknown,Unknown
